relation	pattern
president	to succeed as;
president	succeed [[pro]];
president	to succeed [[con]];
president	to succeed [[pro]];
president	[[mod]] succeed as;
president	to serve [[adj]];
president	to serve after;
president	to serve as;
president	[[con]] serve;
president	[[mod]] serve under;
president	to serve [[con]];
president	[[mod]] serve;
president	[[mod]] serve as;
president	to serve [[det]];
president	serve as;
president	[[mod]] serve to;
president	to serve;
president	[[mod]] serve with;
president	to serve until;
president	[[mod]] serve in;
president	later serve as;
president	to serve under;
president	to serve [[num]];
president	also serve as;
president	serve to;
president	to serve when;
president	succeeded;
president	in government;
president	of government;
president	s government;
president	s government as;
president	government as;
president	[[det]] government;
president	[[det]] government [[con]];
president	[[adj]] government of;
president	[[det]] government of;
president	[[prp]] government;
president	[[adj]] government;
president	s government [[con]];
president	succeeds;
president	[[adj]] secretary [[con]];
president	secretary to;
president	became secretary to;
president	[[adj]] secretary;
president	[[det]] secretary [[con]];
president	as secretary;
president	was secretary [[con]];
president	secretary [[con]];
president	became secretary [[con]];
president	was secretary to;
president	[[prp]] secretary;
president	[[det]] secretary to;
president	[[det]] secretary for;
president	[[det]] secretary;
president	[[con]] secretary to;
president	[[adj]] secretary in;
president	[[adj]] secretary for;
president	became secretary;
president	was secretary;
president	[[adj]] secretary to;
president	was asked why;
president	that asked;
president	later asked;
president	then asked by;
president	asked if;
president	also asked by;
president	had asked;
president	then asked;
president	have asked;
president	[[con]] asked;
president	had asked [[con]];
president	was asked whether;
president	[[pro]] asked;
president	[[con]] asked [[pro]];
president	after asked;
president	so asked;
president	asked for;
president	asked what;
president	had asked [[det]];
president	asked why;
president	was asked if;
president	then asked [[pro]];
president	asked by;
president	asked to;
president	was asked about;
president	then asked if;
president	asked [[det]];
president	asked [[pro]];
president	when asked;
president	asked that;
president	is asked by;
president	has asked;
president	asked whether;
president	been asked by;
president	also asked;
president	asked how;
president	was asked by;
president	[[det]] asked;
president	[[adj]] asked;
president	asked [[con]];
president	had asked to;
president	asked [[adj]];
president	then asked [[det]];
president	asked [[prp]];
president	asked about;
president	was asked;
president	was asked to;
president	was asked how;
president	often credited;
president	[[det]] credited;
president	been credited as;
president	sometimes credited with;
president	[[con]] credited;
president	also credited by;
president	credited for;
president	[[adj]] credited;
president	was credited with;
president	sometimes credited as;
president	was credited by;
president	also credited as;
president	was credited [[con]];
president	credited [[con]];
president	is credited on;
president	also credited for;
president	credited as;
president	is credited as;
president	is credited with;
president	been credited with;
president	also credited with;
president	often credited as;
president	often credited [[con]];
president	also credited;
president	is credited for;
president	sometimes credited [[con]];
president	was credited as;
president	credited with;
president	was credited;
president	been credited;
president	is credited [[con]];
president	is credited by;
president	credited by;
president	is credited;
president	served in [[det]] administrations of;
president	served during [[det]] administrations of;
president	served as [[det]] administrations of;
president	served most [[det]] administrations of;
president	served in [[det]] administrations;
president	had suggested to;
president	[[con]] suggested that;
president	suggested [[pro]];
president	had suggested that;
president	suggested that;
president	as suggested;
president	[[con]] suggested;
president	when suggested;
president	had suggested;
president	suggested to;
president	suggested [[det]];
president	been suggested that;
president	has suggested that;
president	suggested [[con]];
president	suggested by;
president	also suggested;
president	also suggested that;
president	then replaced;
president	[[con]] replaced [[con]];
president	soon replaced by;
president	that replaced;
president	also replaced by;
president	where replaced;
president	when replaced;
president	[[det]] replaced;
president	replaced after;
president	was replaced in;
president	later replaced by;
president	were replaced with;
president	was replaced;
president	[[pro]] replaced by;
president	is replaced as;
president	was replaced [[con]];
president	replaced by;
president	replaced while;
president	was replaced from;
president	be replaced by;
president	who replaced;
president	been replaced by;
president	was replaced while;
president	then replaced as;
president	which replaced [[det]];
president	had replaced [[det]];
president	replaced [[adj]];
president	had replaced;
president	had replaced [[pro]];
president	later replaced;
president	was replaced as;
president	replaced [[pro]];
president	be replaced;
president	replaced [[prp]];
president	then replaced with;
president	later replaced with;
president	[[con]] replaced with;
president	replaced with;
president	[[con]] replaced [[adj]];
president	were replaced by;
president	replaced who;
president	replaced [[con]];
president	[[con]] replaced by;
president	had replaced with;
president	also replaced as;
president	replaced as;
president	[[adj]] replaced;
president	later replaced as;
president	being replaced with;
president	[[con]] replaced;
president	was replaced with;
president	is replaced;
president	which replaced;
president	has replaced;
president	being replaced by;
president	replaced when;
president	[[con]] replaced [[pro]];
president	be replaced as;
president	was replaced by;
president	replaced in;
president	is replaced by;
president	then replaced by;
president	replaced [[det]];
president	was replaced after;
president	soon replaced;
president	also replaced;
president	[[pro]] said that;
president	as said;
president	has said is;
president	said of;
president	also said [[det]];
president	once said of;
president	later said of;
president	said m;
president	[[num]] said;
president	once said that;
president	often said that;
president	who said that;
president	had said;
president	[[con]] said [[pro]];
president	that said;
president	said if;
president	said is;
president	said had;
president	[[con]] said of;
president	said that;
president	later said;
president	then said;
president	be said;
president	also said;
president	have said to;
president	then said that;
president	after said;
president	[[adj]] said;
president	has said [[det]];
president	said was;
president	is said to;
president	said as;
president	said [[num]];
president	also said of;
president	[[pro]] said;
president	[[con]] said;
president	was said;
president	was said that;
president	once said had;
president	later said that;
president	what said;
president	once said in;
president	later said [[con]];
president	which said;
president	also said that;
president	said [[mod]];
president	said [[det]];
president	who said;
president	said have;
president	is said;
president	said about;
president	[[det]] said;
president	has said of;
president	said [[pro]];
president	[[con]] said to;
president	while said;
president	is said by;
president	once said;
president	had said about;
president	has said;
president	said [[adj]];
president	said [[prp]];
president	has said that;
president	once said about;
president	in said;
president	where said;
president	had said [[pro]];
president	was said by;
president	have said;
president	said in;
president	later said [[det]];
president	had said to;
president	had said that;
president	said think;
president	said were;
president	said has;
president	has said about;
president	[[con]] said that;
president	also said [[mod]];
president	have said that;
president	said there;
president	[[con]] said [[adj]];
president	once said to;
president	of said;
president	when said;
president	said to;
president	was said to;
president	often said;
president	said [[con]];
president	became president [[con]];
president	as president;
president	became president;
president	[[adj]] president;
president	[[con]] president;
president	of president;
president	[[num]] president;
president	[[adj]] president who;
president	president [[con]];
president	[[det]] president [[con]];
president	to president;
president	then president;
president	[[det]] president;
