relation	pattern
predecessor	is son;
predecessor	s son de;
predecessor	[[det]] son [[num]];
predecessor	[[prp]] son;
predecessor	[[prp]] son is;
predecessor	son of;
predecessor	to son;
predecessor	son [[mod]];
predecessor	son [[con]];
predecessor	[[det]] son;
predecessor	[[det]] son of;
predecessor	[[adj]] son with;
predecessor	[[det]] son was;
predecessor	s son [[pro]];
predecessor	as son;
predecessor	son who;
predecessor	s son who;
predecessor	[[num]] son [[det]];
predecessor	s son by;
predecessor	s son;
predecessor	son was;
predecessor	[[adj]] son;
predecessor	with son of;
predecessor	[[adj]] son later;
predecessor	[[det]] son with;
predecessor	only son of;
predecessor	[[pro]] son as;
predecessor	that son;
predecessor	[[adj]] son was;
predecessor	[[det]] son became;
predecessor	[[adj]] son [[pro]];
predecessor	[[prp]] son with;
predecessor	[[con]] son of;
predecessor	[[det]] son whom;
predecessor	[[num]] son;
predecessor	[[prp]] son [[con]];
predecessor	[[num]] son [[con]];
predecessor	[[prp]] son was;
predecessor	s son [[det]];
predecessor	s son whom;
predecessor	was son of;
predecessor	s son with;
predecessor	[[adj]] son to;
predecessor	[[num]] son by;
predecessor	[[det]] son of son;
predecessor	is son of;
predecessor	[[prp]] son [[det]];
predecessor	s son [[con]];
predecessor	with son;
predecessor	was son;
predecessor	s son in;
predecessor	[[adj]] son in;
predecessor	[[det]] son by;
predecessor	was son [[con]];
predecessor	[[adj]] son [[num]];
predecessor	[[adj]] son de;
predecessor	[[det]] son to;
predecessor	son with;
predecessor	was son to;
predecessor	[[pro]] son;
predecessor	[[adj]] son [[adj]];
predecessor	from son;
predecessor	s son of;
predecessor	son to;
predecessor	[[adj]] son by;
predecessor	[[det]] son who;
predecessor	s son [[con]] son;
predecessor	[[prp]] son to;
predecessor	[[prp]] son [[num]];
predecessor	son de;
predecessor	is son to;
predecessor	[[adj]] son [[det]];
predecessor	was son by;
predecessor	[[adj]] son who;
predecessor	[[adj]] son of;
predecessor	of son;
predecessor	[[num]] son of;
predecessor	also replaced [[det]];
predecessor	be replaced with;
predecessor	was replaced [[det]];
predecessor	were replaced with;
predecessor	replaced from;
predecessor	has replaced [[det]];
predecessor	replaced [[num]];
predecessor	was replaced to;
predecessor	[[det]] replaced;
predecessor	replaced [[det]];
predecessor	father who;
predecessor	[[det]] father [[num]];
predecessor	father [[det]];
predecessor	[[adj]] father in;
predecessor	[[prp]] father s;
predecessor	of father;
predecessor	s father who;
predecessor	[[con]] father of;
predecessor	that father;
predecessor	[[adj]] father [[con]];
predecessor	[[det]] father when;
predecessor	[[prp]] father [[num]];
predecessor	[[det]] father of;
predecessor	[[det]] father;
predecessor	s father;
predecessor	father of;
predecessor	[[adj]] father of;
predecessor	[[prp]] father was;
predecessor	whose father was;
predecessor	[[adj]] father;
predecessor	to father;
predecessor	s father of;
predecessor	[[det]] father to;
predecessor	is father [[con]];
predecessor	[[pro]] father;
predecessor	[[prp]] father [[con]];
predecessor	was father to;
predecessor	as father;
predecessor	is father to;
predecessor	father is;
predecessor	[[prp]] father;
predecessor	with father;
predecessor	[[det]] father in;
predecessor	[[con]] father;
predecessor	father [[con]];
predecessor	[[det]] father was;
predecessor	s father [[num]];
predecessor	is father;
predecessor	s father [[con]];
predecessor	s father as;
predecessor	was father;
predecessor	s father was;
predecessor	father was;
predecessor	[[det]] father [[det]];
predecessor	[[prp]] father [[det]];
predecessor	s father [[det]];
predecessor	was father of;
predecessor	[[det]] father [[con]];
predecessor	whose father;
predecessor	s father to;
predecessor	succeeds;
predecessor	succeeded;
predecessor	[[prp]] eldest son;
predecessor	eldest son of;
predecessor	[[det]] eldest son;
predecessor	[[prp]] eldest son [[con]];
predecessor	[[adj]] eldest son;
predecessor	[[det]] eldest [[adj]] son of;
predecessor	[[det]] eldest son [[det]];
predecessor	[[det]] eldest son [[num]];
predecessor	s eldest son;
predecessor	[[det]] eldest son to;
predecessor	eldest son;
predecessor	[[adj]] eldest son of;
predecessor	[[det]] eldest son of;
predecessor	[[det]] eldest son [[con]];
predecessor	[[det]] eldest son [[adj]];
predecessor	s eldest son [[det]];
predecessor	was succeeded by [[prp]] father;
predecessor	succeeded [[prp]] father;
predecessor	had succeeded [[prp]] father;
predecessor	also succeeded [[prp]] father as;
predecessor	succeeded [[prp]] father [[con]];
predecessor	succeeded [[prp]] father as;
predecessor	succeeded [[prp]] father to;
predecessor	succeeded [[prp]] father in;
predecessor	succeeds [[prp]] father [[pro]];
predecessor	succeeds [[prp]] father;
predecessor	succeeds [[prp]] father as;
predecessor	was born as [[det]] son of;
predecessor	was born [[con]] [[det]] son of;
predecessor	was born in [[det]] son;
predecessor	was born in [[num]] son of;
predecessor	was born on [[num]] son of;
predecessor	[[num]] son born;
predecessor	was born at son of;
predecessor	born is [[det]] son of;
predecessor	was born at [[det]] son of;
predecessor	was born as son of;
predecessor	was born [[adj]] son of;
predecessor	was born in [[adj]] son [[con]];
predecessor	was born at [[adj]] son of;
predecessor	was born in as son of;
predecessor	[[det]] son of born;
predecessor	was born as [[adj]] son of;
predecessor	born son of;
predecessor	was born in [[det]] son [[con]];
predecessor	was born [[con]] [[adj]] son of;
predecessor	was born near [[adj]] son of;
predecessor	was born on [[det]] son of;
predecessor	[[prp]] son born;
predecessor	was born son of;
predecessor	was born in son of;
predecessor	[[adj]] son born to;
predecessor	was born in [[det]] son [[det]];
predecessor	born [[num]] son of;
predecessor	was born in [[det]] son [[num]];
predecessor	was born [[con]] [[det]] son;
predecessor	was born [[det]] [[adj]] son of;
predecessor	was born in [[det]] son of;
predecessor	was born on [[adj]] son of;
predecessor	[[det]] son born;
predecessor	was born [[num]] [[det]] son of;
predecessor	was born in [[det]] son who;
predecessor	was born [[det]] son of;
predecessor	was born near [[det]] son of;
predecessor	[[adj]] son [[con]] was born of;
predecessor	born was [[det]] son of;
predecessor	was born in [[adj]] son of;
predecessor	about death;
predecessor	s death [[num]];
predecessor	death by;
predecessor	[[prp]] death;
predecessor	on death;
predecessor	after death;
predecessor	[[con]] death;
predecessor	s death when;
predecessor	until death;
predecessor	death of;
predecessor	s death [[con]];
predecessor	for death;
predecessor	death [[con]];
predecessor	in death;
predecessor	before death;
predecessor	of death;
predecessor	s death by;
predecessor	death in;
predecessor	s death in;
predecessor	s death which;
predecessor	[[pro]] death [[con]];
predecessor	[[adj]] death;
predecessor	[[adj]] death of;
predecessor	s death to;
predecessor	s death;
predecessor	[[det]] death [[con]];
predecessor	s death [[det]];
predecessor	[[det]] death of;
predecessor	[[pro]] death;
predecessor	to death;
predecessor	with death;
predecessor	[[det]] death;
predecessor	s death as;
predecessor	[[con]] defeated [[adj]];
predecessor	then defeated by;
predecessor	later defeated by;
predecessor	defeated when;
predecessor	defeated [[prp]];
predecessor	was defeated [[num]];
predecessor	s defeated [[num]];
predecessor	[[con]] defeated [[con]];
predecessor	[[pro]] defeated [[con]];
predecessor	has defeated;
predecessor	[[con]] defeated with;
predecessor	was defeated by;
predecessor	defeated [[num]];
predecessor	was defeated;
predecessor	where defeated;
predecessor	defeated to;
predecessor	then defeated [[adj]];
predecessor	was defeated to;
predecessor	[[con]] defeated;
predecessor	defeated [[con]];
predecessor	[[con]] defeated in;
predecessor	also defeated;
predecessor	again defeated [[con]];
predecessor	while defeated;
predecessor	been defeated by;
predecessor	after defeated;
predecessor	being defeated by;
predecessor	defeated [[adj]];
predecessor	[[adj]] defeated;
predecessor	had defeated [[adj]];
predecessor	been defeated;
predecessor	s defeated;
predecessor	is defeated;
predecessor	when defeated;
predecessor	[[con]] defeated after;
predecessor	[[pro]] defeated;
predecessor	again defeated;
predecessor	was defeated [[con]];
predecessor	defeated with;
predecessor	[[con]] defeated [[det]];
predecessor	is defeated [[con]];
predecessor	defeated before;
predecessor	who defeated;
predecessor	also defeated [[num]];
predecessor	then defeated [[con]];
predecessor	defeated while;
predecessor	defeated by;
predecessor	again defeated by;
predecessor	be defeated by;
predecessor	were defeated by;
predecessor	defeated after;
predecessor	defeated [[pro]];
predecessor	was defeated for;
predecessor	was defeated while;
predecessor	then defeated;
predecessor	had defeated;
predecessor	is defeated by;
predecessor	was succeeded;
predecessor	was succeeded [[pro]];
predecessor	succeeded after;
predecessor	succeeded [[adj]];
predecessor	had succeeded in;
predecessor	[[con]] succeeded as;
predecessor	was succeeded [[con]];
predecessor	then succeeded as;
predecessor	succeeded [[det]];
predecessor	is succeeded as;
predecessor	being succeeded by;
predecessor	succeeded [[con]];
predecessor	then succeeded by;
predecessor	was succeeded on;
predecessor	had succeeded [[pro]];
predecessor	was succeeded as;
predecessor	was succeeded by;
predecessor	succeeded with;
predecessor	succeeded when;
predecessor	also succeeded as;
predecessor	when succeeded;
predecessor	later succeeded;
predecessor	was succeeded who;
predecessor	then succeeded;
predecessor	be succeeded by;
predecessor	where succeeded;
predecessor	succeeded [[num]];
predecessor	is succeeded by;
predecessor	was succeeded in;
predecessor	[[con]] succeeded;
predecessor	succeeded in;
predecessor	have succeeded;
predecessor	had succeeded as;
predecessor	had succeeded;
predecessor	have succeeded as;
predecessor	later succeeded as;
predecessor	that succeeded;
predecessor	succeeded [[pro]];
predecessor	was succeeded to;
predecessor	who succeeded;
predecessor	succeeded as;
predecessor	succeeded who;
predecessor	also succeeded;
predecessor	succeeded [[prp]];
predecessor	[[num]] succeeded;
predecessor	succeeded by;
predecessor	succeeded to;
predecessor	born c;
predecessor	born as;
predecessor	born [[con]];
predecessor	been born;
predecessor	[[num]] born;
predecessor	where born;
predecessor	of born [[num]];
predecessor	been born [[det]];
predecessor	was born when;
predecessor	was born with;
predecessor	was born after;
predecessor	was born into;
predecessor	been born to;
predecessor	born [[num]] born;
predecessor	born to;
predecessor	[[num]] born [[num]];
predecessor	of born;
predecessor	was born;
predecessor	[[det]] born;
predecessor	as born;
predecessor	was born as;
predecessor	was born to;
predecessor	[[adj]] born;
predecessor	is born;
predecessor	[[con]] born;
predecessor	is born [[num]];
predecessor	was born [[con]];
predecessor	is born to;
predecessor	was born of;
predecessor	[[det]] death of [[prp]] father;
predecessor	[[det]] emperor;
predecessor	[[adj]] emperor [[con]];
predecessor	[[adj]] emperor;
predecessor	[[adj]] emperor as;
predecessor	emperor [[con]];
predecessor	became emperor;
predecessor	became emperor as;
predecessor	led [[adj]];
predecessor	of led by;
predecessor	were champions;
predecessor	took [[det]] lead ahead of;
predecessor	had led;
predecessor	[[num]] ahead of;
predecessor	be led by;
predecessor	carried [[det]] county margin over;
predecessor	took [[det]] lead with getting ahead of;
predecessor	won in was followed by;
predecessor	where led;
predecessor	passed [[con]] set off;
predecessor	led as;
predecessor	defeated;
predecessor	led off;
predecessor	now led;
predecessor	led [[con]];
predecessor	when led;
predecessor	[[det]] led by;
predecessor	who led for;
predecessor	[[adj]] ahead;
predecessor	which led;
predecessor	[[num]] led by;
predecessor	[[adj]] ahead of;
predecessor	[[pro]] led;
predecessor	is led to;
predecessor	with led;
predecessor	while led;
predecessor	led with;
predecessor	[[adj]] led by;
predecessor	[[con]] led;
predecessor	[[num]] led;
predecessor	[[adj]] led;
predecessor	regained [[det]] championship by winning [[det]] match at;
predecessor	that led;
predecessor	went ahead;
predecessor	[[det]] led;
predecessor	ahead [[det]];
predecessor	ahead of;
predecessor	now led from;
predecessor	led after;
predecessor	[[con]] ahead of;
predecessor	just ahead of;
predecessor	led where;
predecessor	who led [[det]];
predecessor	ahead [[con]];
predecessor	which led to;
predecessor	led from;
predecessor	also led [[con]];
predecessor	[[det]] sons [[con]];
predecessor	sons [[con]];
predecessor	[[num]] sons;
predecessor	[[num]] sons [[num]];
predecessor	[[adj]] sons [[con]];
predecessor	of sons;
predecessor	[[det]] sons of;
predecessor	[[det]] sons;
predecessor	[[prp]] sons;
predecessor	[[con]] sons;
predecessor	sons [[num]];
predecessor	[[num]] sons [[con]];
predecessor	[[prp]] sons [[con]];
predecessor	[[num]] sons who;
predecessor	s sons;
predecessor	[[num]] sons of;
predecessor	[[num]] sons [[det]];
predecessor	sons of;
predecessor	s sons [[con]];
predecessor	[[adj]] sons;
predecessor	s sons [[num]];
predecessor	[[adj]] sons of;
predecessor	was king;
predecessor	[[adj]] king;
predecessor	by king;
predecessor	king [[pro]];
predecessor	became king;
predecessor	[[det]] king;
predecessor	to king;
predecessor	[[det]] king s;
predecessor	king [[con]];
predecessor	became king [[con]];
predecessor	of king;
predecessor	becomes king;
predecessor	[[det]] king [[con]];
predecessor	[[con]] king;
predecessor	[[adj]] king [[con]];
predecessor	was appointed after;
predecessor	appointed by;
predecessor	[[con]] appointed as;
predecessor	later appointed as;
predecessor	was appointed before;
predecessor	[[det]] appointed;
predecessor	that appointed;
predecessor	[[con]] appointed [[pro]];
predecessor	appointed was;
predecessor	being appointed;
predecessor	first appointed when;
predecessor	then appointed [[con]];
predecessor	was appointed [[det]];
predecessor	be appointed as;
predecessor	appointed where;
predecessor	were appointed;
predecessor	was appointed first;
predecessor	who appointed [[det]];
predecessor	appointed [[num]];
predecessor	had appointed to;
predecessor	also appointed [[det]];
predecessor	was appointed [[adj]];
predecessor	been appointed by;
predecessor	first appointed;
predecessor	[[det]] appointed by;
predecessor	had appointed in;
predecessor	first appointed in;
predecessor	when appointed;
predecessor	was appointed as;
predecessor	also appointed by;
predecessor	had appointed as;
predecessor	then appointed by;
predecessor	later appointed of;
predecessor	were appointed by;
predecessor	been appointed;
predecessor	is appointed [[det]];
predecessor	[[adj]] appointed by;
predecessor	then appointed [[det]];
predecessor	appointed [[con]];
predecessor	appointed with;
predecessor	appointed [[adj]];
predecessor	was appointed when;
predecessor	being appointed by;
predecessor	again appointed as;
predecessor	is appointed [[con]];
predecessor	be appointed [[con]];
predecessor	appointed [[pro]];
predecessor	is appointed by;
predecessor	also appointed [[con]];
predecessor	again appointed [[det]];
predecessor	later appointed by;
predecessor	[[con]] appointed [[det]];
predecessor	had appointed;
predecessor	be appointed by;
predecessor	being appointed to;
predecessor	first appointed by;
predecessor	be appointed;
predecessor	later appointed;
predecessor	was appointed with;
predecessor	again appointed;
predecessor	[[num]] appointed;
predecessor	also appointed;
predecessor	then appointed to;
predecessor	instead appointed as;
predecessor	is appointed;
predecessor	also appointed [[adj]];
predecessor	also appointed as;
predecessor	appointed as;
predecessor	be appointed to;
predecessor	was appointed [[prp]];
predecessor	being appointed [[det]];
predecessor	is appointed as;
predecessor	[[adj]] appointed;
predecessor	[[det]] appointed [[con]];
predecessor	was appointed [[con]];
predecessor	been appointed as;
predecessor	[[con]] appointed;
predecessor	had appointed [[det]];
predecessor	later appointed [[det]];
predecessor	instead appointed;
predecessor	appointed [[det]];
predecessor	was appointed;
predecessor	was appointed under;
predecessor	was appointed where;
predecessor	then appointed as;
predecessor	later appointed [[con]];
predecessor	appointed [[prp]];
predecessor	be appointed [[det]];
predecessor	been appointed to;
predecessor	was appointed by;
predecessor	being appointed as;
predecessor	is appointed after;
predecessor	then appointed;
predecessor	is appointed to;
predecessor	[[num]] appointed by;
predecessor	s son [[con]] brother;
predecessor	[[det]] son [[con]] [[det]] brother of;
predecessor	[[det]] son brother of;
predecessor	[[det]] son of brother;
predecessor	[[det]] brother [[con]] [[det]] son of;
predecessor	[[det]] brother [[con]] son of;
predecessor	[[adj]] son brother of;
predecessor	[[det]] son of [[con]] brother to;
predecessor	[[det]] brother [[det]] son of;
predecessor	[[det]] son [[con]] brother of;
predecessor	[[det]] son [[det]] brother of;
predecessor	[[adj]] son [[con]] brother of;
predecessor	[[adj]] son of [[adj]] brother to;
predecessor	[[det]] son [[con]] brother [[con]];
predecessor	[[det]] son [[con]] brother to;
predecessor	s brother [[con]] son;
predecessor	[[adj]] son [[det]] brother of;
predecessor	[[det]] son of [[prp]] brother;
predecessor	[[adj]] son [[con]] [[det]] brother of;
predecessor	[[det]] son brother;
predecessor	was son [[con]] brother of;
predecessor	[[det]] son [[con]] [[adj]] brother of;
predecessor	[[det]] reign [[con]];
predecessor	[[adj]] reign of;
predecessor	[[det]] reign of;
predecessor	s reign [[con]];
predecessor	[[adj]] reign;
predecessor	s reign as;
predecessor	during reign;
predecessor	s reign;
predecessor	of reign;
predecessor	to succeed [[det]];
predecessor	to succeed;
predecessor	succeed as;
predecessor	[[mod]] succeed [[pro]];
predecessor	[[mod]] succeed;
predecessor	to succeed in;
predecessor	succeed in;
predecessor	to succeed as;
predecessor	succeed [[pro]];
predecessor	to succeed [[con]];
predecessor	to succeed [[pro]];
predecessor	[[mod]] succeed as;
predecessor	[[prp]] brother was;
predecessor	s brother in;
predecessor	[[adj]] brother;
predecessor	that brother;
predecessor	s brother [[con]];
predecessor	[[det]] brother [[con]];
predecessor	[[det]] brother of;
predecessor	brother to;
predecessor	[[det]] brother [[num]];
predecessor	[[prp]] brother;
predecessor	was brother of;
predecessor	s brother [[det]];
predecessor	[[con]] brother to;
predecessor	brother of;
predecessor	[[pro]] brother [[con]];
predecessor	[[con]] brother of;
predecessor	was brother to;
predecessor	is brother of;
predecessor	is brother;
predecessor	[[pro]] brother;
predecessor	[[prp]] brother who;
predecessor	[[det]] brother had;
predecessor	[[prp]] brother [[con]];
predecessor	[[con]] brother;
predecessor	was brother [[con]];
predecessor	[[num]] brother;
predecessor	[[det]] brother who;
predecessor	as brother;
predecessor	s brother who;
predecessor	[[adj]] brother of;
predecessor	to brother;
predecessor	[[det]] brother [[det]];
predecessor	with brother;
predecessor	[[prp]] brother [[det]];
predecessor	brother was;
predecessor	[[adj]] brother in;
predecessor	was brother;
predecessor	[[adj]] brother to;
predecessor	[[det]] brother to;
predecessor	of brother;
predecessor	s brother [[pro]];
predecessor	brother [[con]];
predecessor	is brother to;
predecessor	s brother of;
predecessor	[[prp]] brother [[adj]];
predecessor	[[det]] brother;
predecessor	s brother;
predecessor	[[det]] brother [[adj]];
predecessor	[[prp]] brother to;
predecessor	s brother [[num]];
predecessor	rebelled against;
predecessor	rebelled [[con]];
predecessor	succeeds [[prp]] brother;
predecessor	[[prp]] grandson;
predecessor	was grandson;
predecessor	[[det]] grandson;
predecessor	grandson of;
predecessor	was grandson of;
predecessor	[[con]] grandson of;
predecessor	grandson [[det]];
predecessor	[[det]] grandson [[det]];
predecessor	s grandson [[con]];
predecessor	[[adj]] grandson of;
predecessor	s grandson [[det]];
predecessor	s grandson;
predecessor	was grandson to;
predecessor	[[det]] grandson of;
predecessor	[[adj]] grandson;
predecessor	[[det]] grandson [[con]];
predecessor	was deposed [[con]];
predecessor	deposed by;
predecessor	was deposed by;
predecessor	deposed [[con]];
predecessor	deposed as;
predecessor	[[det]] deposed;
predecessor	was deposed as;
predecessor	was deposed;
predecessor	[[con]] deposed;
predecessor	had suggested to;
predecessor	[[con]] suggested that;
predecessor	suggested [[pro]];
predecessor	had suggested that;
predecessor	suggested that;
predecessor	as suggested;
predecessor	[[con]] suggested;
predecessor	when suggested;
predecessor	had suggested;
predecessor	suggested to;
predecessor	suggested [[det]];
predecessor	been suggested that;
predecessor	has suggested that;
predecessor	suggested [[con]];
predecessor	suggested by;
predecessor	also suggested;
predecessor	also suggested that;
predecessor	came behind;
predecessor	came after;
predecessor	came [[det]];
predecessor	later came with;
predecessor	[[pro]] came through;
predecessor	first came when;
predecessor	came [[con]];
predecessor	when came;
predecessor	came along;
predecessor	where came;
predecessor	came where;
predecessor	while came;
predecessor	came before;
predecessor	came [[num]];
predecessor	came with;
predecessor	came by;
predecessor	as came;
predecessor	came [[adj]];
predecessor	came up;
predecessor	[[pro]] came to;
predecessor	before came;
predecessor	until came;
predecessor	[[adj]] came;
predecessor	first came;
predecessor	came down;
predecessor	came that;
predecessor	came upon;
predecessor	also came with;
predecessor	came on;
predecessor	also came [[adj]];
predecessor	came as;
predecessor	came under;
predecessor	first came as;
predecessor	also came;
predecessor	came for;
predecessor	where came across;
predecessor	came when;
predecessor	after came;
predecessor	also came up;
predecessor	soon came with;
predecessor	came across;
predecessor	came while;
predecessor	[[con]] came;
predecessor	[[det]] came;
predecessor	[[con]] came with;
predecessor	[[num]] came;
predecessor	then came out;
predecessor	came out;
predecessor	came through;
predecessor	[[pro]] came back;
predecessor	came in;
predecessor	[[det]] power of;
predecessor	[[det]] power;
predecessor	power from;
predecessor	[[adj]] power;
predecessor	power to;
predecessor	[[adj]] power [[con]];
predecessor	power with;
predecessor	[[adj]] child with;
predecessor	[[det]] child [[con]];
predecessor	[[adj]] child of;
predecessor	[[adj]] child [[det]];
predecessor	s child;
predecessor	[[num]] child;
predecessor	[[num]] child with;
predecessor	with child;
predecessor	[[det]] child with;
predecessor	[[prp]] child;
predecessor	[[det]] child;
predecessor	[[det]] child of;
predecessor	[[adj]] child [[con]];
predecessor	[[con]] child;
predecessor	[[adj]] child to;
predecessor	of child;
predecessor	child of;
predecessor	[[adj]] child;
predecessor	later merged into;
predecessor	was merged [[con]];
predecessor	merged from;
predecessor	was merged to;
predecessor	merged [[prp]];
predecessor	then merged;
predecessor	merged into;
predecessor	later merged with;
predecessor	when merged with;
predecessor	merged [[con]];
predecessor	was merged into;
predecessor	[[con]] merged into;
predecessor	was merged;
predecessor	had merged with;
predecessor	were merged into;
predecessor	be merged;
predecessor	later merged [[con]];
predecessor	[[det]] merged;
predecessor	[[con]] merged with;
predecessor	merged [[det]];
predecessor	was merged with;
predecessor	[[con]] merged to;
predecessor	merged to;
predecessor	when merged;
predecessor	be merged with;
predecessor	merged with;
predecessor	be merged into;
predecessor	then merged with;
predecessor	[[con]] merged;
predecessor	had merged into;
predecessor	merged in;
predecessor	which merged with;
predecessor	after killed;
predecessor	being killed by;
predecessor	had killed;
predecessor	also killed;
predecessor	also killed along;
predecessor	was killed as;
predecessor	[[con]] killed [[det]];
predecessor	is killed after;
predecessor	is killed [[con]];
predecessor	is killed at;
predecessor	[[adj]] killed;
predecessor	where killed;
predecessor	killed [[num]];
predecessor	when killed;
predecessor	killed [[adj]];
predecessor	is killed when;
predecessor	killed [[con]];
predecessor	killed [[pro]];
predecessor	killed to;
predecessor	nearly killed by;
predecessor	then killed by;
predecessor	who killed;
predecessor	had killed [[con]];
predecessor	was killed after;
predecessor	that killed;
predecessor	was killed;
predecessor	been killed;
predecessor	was killed because;
predecessor	also killed [[con]];
predecessor	[[pro]] killed;
predecessor	is killed while;
predecessor	killed after;
predecessor	were killed by;
predecessor	almost killed;
predecessor	killed off;
predecessor	was killed while;
predecessor	was killed [[con]];
predecessor	then killed;
predecessor	be killed;
predecessor	is killed;
predecessor	have killed [[det]];
predecessor	was killed along;
predecessor	was killed to;
predecessor	was killed when;
predecessor	killed by;
predecessor	who killed [[num]];
predecessor	[[con]] killed;
predecessor	have killed;
predecessor	have killed [[con]];
predecessor	killed because;
predecessor	killed [[det]];
predecessor	killed [[prp]];
predecessor	be killed by;
predecessor	been killed by;
predecessor	been killed with;
predecessor	is killed by;
predecessor	was killed with;
predecessor	[[det]] killed;
predecessor	had killed [[adj]];
predecessor	has killed;
predecessor	was killed by;
predecessor	[[prp]] heir;
predecessor	[[det]] heir of;
predecessor	[[det]] heir [[adj]];
predecessor	heir [[adj]];
predecessor	[[adj]] heir of;
predecessor	[[adj]] heir [[con]];
predecessor	[[adj]] heir;
predecessor	heir to;
predecessor	[[det]] heir to;
predecessor	[[det]] heir;
predecessor	[[adj]] heir to;
predecessor	heir [[con]];
predecessor	[[det]] heir [[con]];
predecessor	oldest son;
predecessor	[[det]] oldest son of;
predecessor	s oldest son;
predecessor	[[prp]] oldest son;
predecessor	[[adj]] oldest son of;
predecessor	s oldest son [[det]];
predecessor	[[adj]] cousin;
predecessor	is cousin of;
predecessor	[[det]] cousin of;
predecessor	s cousin;
predecessor	cousin of;
predecessor	is cousin;
predecessor	[[adj]] cousin of;
predecessor	[[det]] cousin [[det]];
predecessor	[[prp]] cousin [[con]];
predecessor	is cousin to;
predecessor	[[con]] cousin;
predecessor	[[adj]] cousin [[num]];
predecessor	[[adj]] cousin [[con]];
predecessor	[[prp]] cousin;
predecessor	cousin [[con]];
predecessor	[[det]] cousin;
predecessor	s cousin [[con]];
predecessor	[[det]] cousin who;
predecessor	s cousin [[num]];
predecessor	[[det]] cousin to;
predecessor	cousin to;
predecessor	[[adj]] cousin [[det]];
predecessor	[[adj]] cousin to;
predecessor	[[det]] cousin [[con]];
predecessor	s cousin [[det]];
predecessor	was forced;
predecessor	forced out;
predecessor	was forced to;
predecessor	is forced by;
predecessor	be forced to;
predecessor	which forced;
predecessor	had forced;
predecessor	forced to;
predecessor	was forced by;
predecessor	when forced;
predecessor	[[con]] forced;
predecessor	that forced;
predecessor	forced [[det]];
predecessor	was forced out;
predecessor	is forced;
predecessor	forced [[pro]];
predecessor	[[con]] youngest son of;
predecessor	[[det]] youngest son of;
predecessor	youngest son;
predecessor	[[prp]] youngest son;
predecessor	s youngest son;
predecessor	[[prp]] younger brother [[con]];
predecessor	[[det]] younger brother;
predecessor	[[det]] younger brother [[con]];
predecessor	[[pro]] younger brother;
predecessor	younger brother of;
predecessor	[[num]] brother [[con]] younger brother;
predecessor	s younger brother [[con]];
predecessor	[[num]] younger brother;
predecessor	younger brother to;
predecessor	[[det]] younger brother who;
predecessor	[[det]] younger brother of;
predecessor	younger brother;
predecessor	[[prp]] younger brother;
predecessor	[[adj]] younger brother;
predecessor	[[det]] younger brother [[pro]];
predecessor	s younger brother;
predecessor	[[det]] younger brother [[det]];
predecessor	[[det]] younger brother to;
predecessor	s younger brother [[det]];
predecessor	with younger brother;
predecessor	[[det]] death of [[prp]] brother;
predecessor	s death [[prp]] brother;
predecessor	[[det]] older brother of;
predecessor	older brother;
predecessor	s older brother [[det]];
predecessor	s older brother;
predecessor	[[det]] older brother;
predecessor	[[prp]] older brother;
predecessor	[[det]] older brother to;
predecessor	[[det]] older brother [[num]];
predecessor	[[num]] older brother;
predecessor	s older brother [[con]];
predecessor	[[prp]] older brother [[con]];
predecessor	[[det]] older brother [[con]];
predecessor	to serve [[adj]];
predecessor	to serve after;
predecessor	to serve as;
predecessor	[[con]] serve;
predecessor	[[mod]] serve under;
predecessor	to serve [[con]];
predecessor	[[mod]] serve;
predecessor	[[mod]] serve as;
predecessor	to serve [[det]];
predecessor	serve as;
predecessor	[[mod]] serve to;
predecessor	to serve;
predecessor	[[mod]] serve with;
predecessor	to serve until;
predecessor	[[mod]] serve in;
predecessor	later serve as;
predecessor	to serve under;
predecessor	to serve [[num]];
predecessor	also serve as;
predecessor	serve to;
predecessor	to serve when;
predecessor	was sold for;
predecessor	is sold;
predecessor	[[det]] sold;
predecessor	was sold [[con]];
predecessor	then sold;
predecessor	sold as;
predecessor	that sold [[det]];
predecessor	were sold;
predecessor	[[adj]] sold;
predecessor	[[con]] sold;
predecessor	is sold as;
predecessor	was sold as;
predecessor	also sold as;
predecessor	was sold;
predecessor	died [[con]] succeeded as;
predecessor	died [[con]] was succeeded;
predecessor	died [[con]] succeeded [[pro]];
predecessor	died [[con]] succeeded;
predecessor	died [[con]] was succeeded as;
predecessor	succeeded when died;
predecessor	was granted [[det]] title by;
predecessor	was born was [[det]] eldest son of;
predecessor	was born at [[det]] eldest son of;
predecessor	was born in [[det]] eldest son [[con]];
predecessor	born [[num]] [[det]] eldest son of;
predecessor	was born [[det]] eldest son of;
predecessor	was born in [[det]] eldest son of;
predecessor	was born [[con]] [[det]] eldest son of;
predecessor	be crowned by;
predecessor	be crowned;
predecessor	crowned [[det]];
predecessor	crowned [[pro]];
predecessor	was crowned as;
predecessor	crowned [[con]];
predecessor	crowned by;
predecessor	was crowned;
predecessor	[[con]] crowned;
predecessor	be crowned as;
predecessor	was crowned [[con]];
predecessor	was crowned by;
predecessor	[[con]] entered;
predecessor	when entered;
predecessor	later entered [[con]];
predecessor	entered on;
predecessor	that entered;
predecessor	[[con]] entered with;
predecessor	entered with;
predecessor	entered [[con]];
predecessor	[[num]] entered;
predecessor	entered [[prp]];
predecessor	as entered;
